Module Code,Module Title,Credits,Term,ELE Link,prerequisites,Prerequisites,Coerequisites
BEP1130,Introduction to 'With Industrial Experience',,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP1130&ay=2023/4&sys=0,,None,None
BEP1140,Preparation for WYA With Year Abroad,,"1, 2 and 3",https://business-school.exeter.ac.uk/module/?mod_code=BEP1140&ay=2023/4&sys=0,,None,None
BEP1150,"Environment, Society and Business",30.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEP1150&ay=2023/4&sys=0,,None,Cannot be taken with BEP1010
BEP1160,Business History,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP1160&ay=2023/4&sys=0,,N/A,N/A
BEP2020,Project Management,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP2020&ay=2023/4&sys=0,,None,None
BEP2030,Business Practice (Placement/Work Experience Project),15.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2030&ay=2023/4&sys=0,,Module pre-requisites not found on the webpage.,
BEP2040,Strategic Concepts for Business,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP2040&ay=2023/4&sys=0,,None,None
BEP2050,Finance for Business,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2050&ay=2023/4&sys=0,,None,None
BEP2060,Research Inquiry for Practice,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2060&ay=2023/4&sys=0,,None,None
BEP2070,Social Enterprise Management,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2070&ay=2023/4&sys=0,,None,None
BEP2110,Workplace Wellbeing,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2110&ay=2023/4&sys=0,,None,None
BEP2120,Digital Technologies and the Future of Work,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP2120&ay=2023/4&sys=0,,None.,None.
BEP2130,Preparation for 'with Year Abroad',,"1, 2 and 3",https://business-school.exeter.ac.uk/module/?mod_code=BEP2130&ay=2023/4&sys=0,,"Minimum overall weighted average of 50% in level 1 for European institutions and 60% in level 1 for International (non-European) institutions. Please note that this module is a pre-requisite for Level 3 Business School Year Abroad module BEP3100/BEP3100A.There may be some language requirements for specific host institutions, please contact the Global Opportunities Team for more information.",
BEP2140,Business Analytics,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2140&ay=2023/4&sys=0,,None,None
BEP2150,Ecological Economics,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP2150&ay=2023/4&sys=0,,None,None
BEP2160,Institutional Economics,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP2160&ay=2023/4&sys=0,,None,None
BEP2180,With Industrial Experience Preparation,,"1, 2 and 3",https://business-school.exeter.ac.uk/module/?mod_code=BEP2180&ay=2023/4&sys=0,,A BEP1020 mark of 60% or higher and a minimum overall weighted average of 50% at level 1.(Please note this module is a pre-requisite for the level 3 Business School Industrial Experience module BEP3002).,None
BEP2190,Understanding Financial Statements,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2190&ay=2023/4&sys=0,,BEP1070,None
BEP2200,Marketing Analytics,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP2200&ay=2023/4&sys=0,,None,None
BEP2210,Circular Enterprise Economy,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2210&ay=2023/4&sys=0,,None,None
BEP2300,History of Black Entrepreneurship,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2300&ay=2023/4&sys=0,,None,None
BEP3002,Business School Industrial Experience (Penryn),120.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEP3002&ay=2023/4&sys=0,,Minimum overall weighted average of 50.0% in Level 1; satisfactory completion of the compulsory Placement Preparation modules BSD1002 (with minimum 50% mark) and BSD2002.,None
BEP3010,Social and Technological Innovation,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP3010&ay=2023/4&sys=0,,None,None
BEP3011,Business and Climate Change,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP3011&ay=2023/4&sys=0,,None,None
BEP3020,Practice-Based Consultancy Management,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP3020&ay=2023/4&sys=0,,Module pre-requisites not found on the webpage.,None
BEP3030,Globalisation and Internationalisation,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP3030&ay=2023/4&sys=0,,None,None
BEP3040,Local-Global Innovation (Cornwall Research Seminar Series),15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP3040&ay=2023/4&sys=0,,None,None
BEP3050,Future-Facing Dissertation/Project,30.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEP3050&ay=2023/4&sys=0,,BEP2060,
BEP3070,Crisis: Change and Creativity in Organisations,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP3070&ay=2023/4&sys=0,,None,None
BEP3090,Business Field Trip,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP3090&ay=2023/4&sys=0,,BEP2030 Business Practice,None
BEP3100B,Year Abroad (Study),120.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEP3100B&ay=2023/4&sys=0,,BEP2130 1st year average of 60% required for International destinations (non-European) and 1st year average of 50% required for European destinations,
BEP3100C,Year Abroad (Work Placement),120.0,"1, 2 and 3",https://business-school.exeter.ac.uk/module/?mod_code=BEP3100C&ay=2023/4&sys=0,,BEP2130 - 1st year average of 60% required for International destinations (non-European) and 1st year average of 50% required for European destinationsStudents wishing to undertake a work placement must have attended the compulsory talk as part of BEP2130 in Level 2.,
BEP3100a,Year Abroad (Study and Work Placement),120.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEP3100a&ay=2023/4&sys=0,,BEP2130 - 1st year average of 60% required for International destinations (non-European) and 1st year average of 50% required for European destinationsStudents wishing to undertake a work placement must have attended the compulsory talk as part of BEP2130 in Level 2.,
BEP3110,Marketing Strategy,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP3110&ay=2023/4&sys=0,,Module pre-requisites not found on the webpage.,
BEP3130,Biomimicry,15.0,,https://business-school.exeter.ac.uk/module/?mod_code=BEP3130&ay=2023/4&sys=0,,None,None
BEP3171,The Economy of Space,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP3171&ay=2023/4&sys=0,,None,None
BEP3172,Future 17: Sustainable Development Goals Challenge,15.0,"1, 2 and 3",https://business-school.exeter.ac.uk/module/?mod_code=BEP3172&ay=2023/4&sys=0,,90 credits at RCF Level 4,N/A
BSD1002,Introduction to 'With Industrial Experience',,2 and 3,https://business-school.exeter.ac.uk/module/?mod_code=BSD1002&ay=2023/4&sys=0,,None,BEP1130 is the equivalent module for eligible Penryn students intending on pursuing WIE (exc. BSc Business)
BSD2002,Career Management Skills for 'with Industrial Experience' Students,,"1, 2 and 3",https://business-school.exeter.ac.uk/module/?mod_code=BSD2002&ay=2023/4&sys=0,,"A BSD1002 mark of 50% or higher, and a minimum level 1 overall weighted average of 50%.Please see BEP2180 for Penryn equivalent.(Please note this module is a pre-requisite for the level 3 Business School Industrial Experience module BUS3002).",None
BSD2005,Preparation for 'with Year Abroad',,"1, 2 and 3",https://business-school.exeter.ac.uk/module/?mod_code=BSD2005&ay=2023/4&sys=0,,"Minimum overall weighted average of 50% in Year 1 and Year 2 for European institutions and work placements abroad and 60% in Year 1 and Year 2 for International (non-European) institutions. Please note that this module is a pre-requisite for Year 3  Business School Year Abroad modules BUS3000A, BUS3000B and BUS3000C.There may be some language requirements for specific host institutions, please contact the Global Opportunities Team for more information.",None
BUS1908,Preparation for WYA With Year Abroad,,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BUS1908&ay=2023/4&sys=0,,None,None
BUS2001,Business Awareness: Theory and Practice,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BUS2001&ay=2023/4&sys=0,,None.,None.
BUS2004,Business Internships and Placements,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BUS2004&ay=2023/4&sys=0,,Module pre-requisites not found on the webpage.,"WYA students can defer the BIP placement and written report until after the year abroad but before their final (4 th ) year. Students on the split work/study abroad must secure a different placement for BIP, as we will not count the WYA placement towards BIP. WYA students need to be aware that the normal rules of progression will still apply and they may be removed from the WYA programme if they do not meet all the necessary requirements.Cannot be taken by students on the 'With Industrial Experience' programme."
BUS3000A,Year Abroad (Study and Work Placement),120.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BUS3000A&ay=2023/4&sys=0,,1st and 2nd year average of 60% required for studying at non-European destinations and 1st and 2nd year average of 50% required for studying at European destinations and/or working abroad.Students wishing to undertake a year abroad (work and /or study) must have attended the BSD2005 compulsory talks in Year 2.,None
BUS3000B,Year Abroad (Study),120.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BUS3000B&ay=2023/4&sys=0,,1st and 2nd year average of 60% required for non-European destinations and 1st and 2nd year average of 50% required for European destinations.Students wishing to undertake a year abroad must have attended the BSD2005 compulsory talks in Year 2.,None
BUS3000C,Year Abroad (Work Placement),120.0,"1, 2 and 3",https://business-school.exeter.ac.uk/module/?mod_code=BUS3000C&ay=2023/4&sys=0,,1st year and 2nd year average of 50% required students wishing to undertake a year abroad must have attended the compulsory talks as part of BSD2005 in Level 2.,None
BUS3000D,Year Abroad (Study),120.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BUS3000D&ay=2023/4&sys=0,,1st year and 2nd year average of 60% required for International destinations (non-European) and 1st year and 2nd year average of 50% required for European destinations.Students wishing to undertake a year abroad must have attended the BSD2005 compulsory talks in Year 2.This module is for students on BA International Business and Modern Languages only.,N/A
BUS3000E,Year Abroad (Work Placement),120.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BUS3000E&ay=2023/4&sys=0,,BSD2005 - Preparation for 'with Year Abroad'. Students wishing to undertake a work placement must have attended the compulsory talk as part of BSD2005 in Level 2.1st year and 2nd year average of 50% required. The discretion of the Director of Education/Programme Director may be applied where students do not fully achieve the required averages.This module is for students on BA International Business and Modern Languages only.,None
BUS3000F,Study and Work Placement,120.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BUS3000F&ay=2023/4&sys=0,,BSD2005 - Preparation for 'with Year Abroad'1st year and 2nd Year average of 60% required for International destinations (non-European) and 1st year and 2nd year average of 50% required for European destinations and/or working abroad.This module is for students on BA International Business and Modern Languages only.,N/A
BUS3001,Dissertation,30.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BUS3001&ay=2023/4&sys=0,,None,None
BUS3002,Business School Industrial Experience,120.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BUS3002&ay=2023/4&sys=0,,Minimum overall weighted average of 50.0% in Level 1; satisfactory completion of the compulsory Placement Preparation modules BSD1002 (with minimum 50% mark) and BSD2002.,None
